PG.ProteinGroups,PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Passed_Raw_Threshold,Passed_FDR_Threshold,Significance_Tier
Q14166,TTLL12,-1.6107565689242374,0.5762101526446624,0.8882347094283659,False,False,Not Significant
Q14194,CRMP1,-1.4813487459188281,0.3910022189557706,0.8477277197949515,False,False,Not Significant
Q14195,DPYSL3,4.568269738083968,0.0528827492280039,0.8477277197949515,False,False,Not Significant
Q14203,DCTN1,-0.25749649638482985,0.7616177388045798,0.9582692538369595,False,False,Not Significant
Q14204,DYNC1H1,-0.0009744994653999584,0.9982524239523116,0.9993212133993129,False,False,Not Significant
Q14232,EIF2B1,-0.33853399213595825,0.48325265154725544,0.8636323507327285,False,False,Not Significant
Q14247,CTTN,0.4255063878234786,0.8504673248487764,0.9800640735828028,False,False,Not Significant
Q14258,TRIM25,-1.4869279804804902,0.5243100620083544,0.8783735627057607,False,False,Not Significant
Q14315,FLNC,0.6219829432196047,0.21211153209564965,0.8477277197949515,False,False,Not Significant
Q14331,FRG1,-0.14825896396819616,0.7459665425766945,0.9567715980826277,False,False,Not Significant
Q14344,GNA13,-2.5950031257724877,0.19479062721685045,0.8477277197949515,False,False,Not Significant
Q14444,CAPRIN1,-1.3138671520196799,0.5995187063960468,0.8931352027727483,False,False,Not Significant
Q14498,RBM39,-0.14753859320168594,0.7514758660624321,0.9567715980826277,False,False,Not Significant
Q14525;Q14525,KRT33B,0.8835030705143612,0.7371236850271207,0.9525082826484754,False,False,Not Significant
Q14566,MCM6,-0.03767808303764131,0.9498881592708215,0.9937029628381181,False,False,Not Significant
Q14574,DSC3,-0.0015254550758978525,0.9993212133993129,0.9993212133993129,False,False,Not Significant
Q14669,TRIP12,1.3877421183352743,0.4139756566288642,0.8482577095291921,False,False,Not Significant
Q14676,MDC1,-1.3063980301259286,0.3910022189557706,0.8477277197949515,False,False,Not Significant
Q14677,CLINT1,-2.8251873229919595,0.05838764171802789,0.8477277197949515,False,False,Not Significant
Q14683,SMC1A,-1.6883318096157778,0.36105721739882496,0.8477277197949515,False,False,Not Significant
Q14684,RRP1B,-0.9189262163304548,0.13241705300061815,0.8477277197949515,False,False,Not Significant
Q14689;Q9P265,DIP2A;DIP2B,-0.7798210162131101,0.7000809144379643,0.9401257400842029,False,False,Not Significant
Q14690,PDCD11,-1.016214870866913,0.4857619458359252,0.8668233218926785,False,False,Not Significant
Q14692,BMS1,-1.0995976551367521,0.4780149399307747,0.8616370562802825,False,False,Not Significant
Q14694,USP10,-0.8702091175413385,0.6166460084797892,0.8995983429954081,False,False,Not Significant
Q14697,GANAB,0.6058233288657986,0.7316040634085617,0.9503666999307534,False,False,Not Significant
Q14739,LBR,-1.5521045889400584,0.07043350392733388,0.8477277197949515,False,False,Not Significant
Q14847,LASP1,-1.3472917725090348,0.5817427508435736,0.8882347094283659,False,False,Not Significant
Q14956,GPNMB,0.4939666700929717,0.6478040113548368,0.9160604887480512,False,False,Not Significant
Q14966,ZNF638,-1.189308329331447,0.3910022189557705,0.8477277197949515,False,False,Not Significant
Q14974,KPNB1,-0.9610192609989872,0.20171250252874162,0.8477277197949515,False,False,Not Significant
Q14978,NOLC1,-0.7934969946058494,0.10683216356405144,0.8477277197949515,False,False,Not Significant
Q14980,NUMA1,-0.14117689390077626,0.7327967953117748,0.9503666999307534,False,False,Not Significant
Q14CN4,KRT72,-0.5592825401260093,0.714932477211274,0.9426517106933835,False,False,Not Significant
Q15003,NCAPH,-1.078298653722781,0.3910022189557705,0.8477277197949515,False,False,Not Significant
Q15004,PCLAF,0.8512035405152862,0.3910022189557704,0.8477277197949515,False,False,Not Significant
Q15008,PSMD6,0.44969422006910076,0.8354673127077323,0.9727763313947758,False,False,Not Significant
Q15014,MORF4L2,-0.763538105686818,0.23339359545137658,0.8477277197949515,False,False,Not Significant
Q15019,SEPTIN2,-2.236352041983925,0.20646742102690832,0.8477277197949515,False,False,Not Significant
Q15021,NCAPD2,-0.7824296908325206,0.6122776700406664,0.896077494489115,False,False,Not Significant
Q15022,SUZ12,-0.22853825587748577,0.9207428194159623,0.992588799436721,False,False,Not Significant
Q15031,LARS2,-1.327065907795772,0.3910022189557705,0.8477277197949515,False,False,Not Significant
Q15050,RRS1,-0.21129430184281794,0.46604591331542217,0.858770725677415,False,False,Not Significant
Q15056,EIF4H,-4.327795990825433,0.03870770455999002,0.8477277197949515,True,False,Exploratory (Raw P < 0.05)
Q15084,PDIA6,-1.892400956506819,0.32430000611446697,0.8477277197949515,False,False,Not Significant
Q15118,PDK1,-1.068416974008497,0.5689599749634697,0.8882347094283659,False,False,Not Significant
Q15120,PDK3,-3.5470229719720052,0.09745645835621818,0.8477277197949515,False,False,Not Significant
Q15149,PLEC,0.07625483826523904,0.8925950894555311,0.9902707956957911,False,False,Not Significant
Q15181,PPA1,0.04795740427916684,0.8843620269222872,0.987361526168294,False,False,Not Significant
Q15185,PTGES3,-0.2532780498032574,0.6819743136802751,0.9319879296359996,False,False,Not Significant
Q15233,NONO,-0.6566653274708933,0.020568094492602572,0.8477277197949515,False,False,Not Significant
Q15286,RAB35,-2.7908179108169477,0.20596985865372164,0.8477277197949515,False,False,Not Significant
Q15287,RNPS1,-0.1109674939116232,0.8936081267339127,0.9902707956957911,False,False,Not Significant
Q15323;Q15323,KRT31,-1.8511351327815593,0.19846409173725285,0.8477277197949515,False,False,Not Significant
Q15363,TMED2,-1.6559696981335637,0.3910022189557705,0.8477277197949515,False,False,Not Significant
Q15365,PCBP1,-0.773432981893885,0.36696113680445885,0.8477277197949515,False,False,Not Significant
Q15366,PCBP2,-1.1090959467723636,0.23935259589979466,0.8477277197949515,False,False,Not Significant
Q15382,RHEB,-1.2442933112890326,0.5473235462364129,0.8865069808642245,False,False,Not Significant
Q15388,TOMM20,-3.3548702018928576,0.1817145335937808,0.8477277197949515,False,False,Not Significant
Q15392,DHCR24,1.3323257336127314,0.46390858179646016,0.8582914653060307,False,False,Not Significant
Q15393,SF3B3,-2.0122740931729046,0.3046472875858719,0.8477277197949515,False,False,Not Significant
Q15397,PUM3,-0.169513428657333,0.6318483984013318,0.904004431535234,False,False,Not Significant
Q15398,DLGAP5,0.2694229547677738,0.9230921229267052,0.992588799436721,False,False,Not Significant
Q15404,RSU1,0.08218138630362626,0.9740822209890778,0.9993212133993129,False,False,Not Significant
Q15417,CNN3,-2.9612441936772167,0.20166641496945664,0.8477277197949515,False,False,Not Significant
Q15424,SAFB,-0.2913836904621392,0.8379810189921945,0.9733156370676059,False,False,Not Significant
Q15427,SF3B4,0.5100845903852242,0.5065801733740204,0.8743880810722485,False,False,Not Significant
Q15428,SF3A2,-1.1710205575661288,0.3910022189557705,0.8477277197949515,False,False,Not Significant
Q15436,SEC23A,-0.009419080782306466,0.9954565630553626,0.9993212133993129,False,False,Not Significant
Q15437,SEC23B,-1.2248092300733968,0.5537799499198361,0.8865069808642245,False,False,Not Significant
Q15459,SF3A1,0.3671571356750247,0.40265052303368676,0.8477277197949515,False,False,Not Significant
