PG.ProteinGroups,PG.Genes,Log2FC,Raw_P_Value,FDR_Adjusted_P,Passed_Raw_Threshold,Passed_FDR_Threshold,Significance_Tier
Q15233,NONO,0.391415605047456,0.3995045093436556,0.5789572456910854,False,False,Not Significant
Q15286,RAB35,-0.1865856543682174,0.9296017245674919,0.9593789983258807,False,False,Not Significant
Q15287,RNPS1,0.4572933790203022,0.5740504547847841,0.7149124397319739,False,False,Not Significant
Q15323;Q15323,KRT31,2.6383312077020147,0.14195686915896122,0.44155582390206916,False,False,Not Significant
Q15363,TMED2,1.6559696981335637,0.3910022189557705,0.575529253681259,False,False,Not Significant
Q15365,PCBP1,4.185667393207502,0.0856104516800424,0.33929344398381445,False,False,Not Significant
Q15366,PCBP2,2.0530019746990025,0.017523666575648654,0.23731345420377656,True,False,Exploratory (Raw P < 0.05)
Q15382,RHEB,4.037102790218696,0.08542947334294086,0.33929344398381445,False,False,Not Significant
Q15388,TOMM20,3.3548702018928576,0.1817145335937808,0.44155582390206916,False,False,Not Significant
Q15392,DHCR24,4.344180849429803,0.06264145085770359,0.31175406269954126,False,False,Not Significant
Q15393,SF3B3,3.990101200457571,0.011159285434122668,0.18590056676138467,True,False,Exploratory (Raw P < 0.05)
Q15397,PUM3,1.11966157554577,0.013886645246219258,0.21373358335485293,True,False,Exploratory (Raw P < 0.05)
Q15398,DLGAP5,3.1098833058512567,0.18712260857863483,0.44155582390206916,False,False,Not Significant
Q15404,RSU1,1.4313483126568889,0.5356849354552261,0.682131176802698,False,False,Not Significant
Q15417,CNN3,3.0294742212346217,0.18422943101799857,0.44155582390206916,False,False,Not Significant
Q15424,SAFB,2.042263664790618,0.18010623435536288,0.44155582390206916,False,False,Not Significant
Q15427,SF3B4,0.5027665020539311,0.521644367792872,0.6747285501899553,False,False,Not Significant
Q15428,SF3A2,1.1710205575661288,0.3910022189557705,0.575529253681259,False,False,Not Significant
Q15436,SEC23A,4.266345704112004,0.05985479289333993,0.31175406269954126,False,False,Not Significant
Q15437,SEC23B,3.386041216444371,0.06862326117413325,0.3174672444686487,False,False,Not Significant
Q15459,SF3A1,1.0039269678899787,0.5281846282529069,0.6790484836747839,False,False,Not Significant
Q15517,CDSN,0.6376180646711607,0.5281266523030844,0.6790484836747839,False,False,Not Significant
Q15555,MAPRE2,-0.5768908584632717,0.8297976750176836,0.8948922374905103,False,False,Not Significant
Q15637,SF1,1.7887878447793737,0.3970828565942463,0.5789083807281733,False,False,Not Significant
Q15717,ELAVL1,0.34826356565900163,0.45750722800615945,0.6256940643168725,False,False,Not Significant
Q15738,NSDHL,2.245815903705485,0.16625473367877613,0.44155582390206916,False,False,Not Significant
Q15758,SLC1A5,2.1481646754676818,0.39637509701802565,0.5786259148221901,False,False,Not Significant
Q16186,ADRM1,2.1577686247653354,0.3995303328423144,0.5789572456910854,False,False,Not Significant
Q16527,CSRP2,6.830735206790668,2.9489664305422837e-05,0.010439341164119684,True,True,High Confidence (FDR < 0.05)
Q16555,DPYSL2,1.6662124379651426,0.1820600923886193,0.44155582390206916,False,False,Not Significant
Q16610,ECM1,2.0553405139444036,0.4325010080185146,0.6057580883820145,False,False,Not Significant
Q16629,SRSF7,3.780523382352167,0.12597299895390315,0.4187271514524105,False,False,Not Significant
Q16630,CPSF6,-0.10517928553411515,0.8523218642445294,0.9122356460848479,False,False,Not Significant
